MMDDHH SIN_mg.cm3.h STP_oC SWC SWP_MPa pH
011023 1.26e-05 4.783 0.28335 -0.1526598 7.34
011024 1.26e-05 4.783 0.28335 -0.1526598 7.34
011101 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011102 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011103 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011104 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011105 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011106 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011107 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011108 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011109 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011110 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011111 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011112 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011113 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011114 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011115 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011116 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011117 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011118 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011119 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011120 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011121 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011122 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011123 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011124 1.26e-05 4.8505 0.2805 -0.15413545 7.34
011201 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011202 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011203 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011204 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011205 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011206 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011207 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011208 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011209 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011210 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011211 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011212 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011213 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011214 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011215 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011216 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011217 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011218 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011219 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011220 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011221 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011222 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011223 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011224 1.26e-05 4.7555 0.2786 -0.15640115 7.34
011301 1.26e-05 4.15 0.2798 -0.15545235 7.34
011302 1.26e-05 4.15 0.2798 -0.15545235 7.34
011303 1.26e-05 4.15 0.2798 -0.15545235 7.34
011304 1.26e-05 4.15 0.2798 -0.15545235 7.34
011305 1.26e-05 4.15 0.2798 -0.15545235 7.34
011306 1.26e-05 4.15 0.2798 -0.15545235 7.34
011307 1.26e-05 4.15 0.2798 -0.15545235 7.34
011308 1.26e-05 4.15 0.2798 -0.15545235 7.34
011309 1.26e-05 4.15 0.2798 -0.15545235 7.34
011310 1.26e-05 4.15 0.2798 -0.15545235 7.34
011311 1.26e-05 4.15 0.2798 -0.15545235 7.34
011312 1.26e-05 4.15 0.2798 -0.15545235 7.34
011313 1.26e-05 4.15 0.2798 -0.15545235 7.34
011314 1.26e-05 4.15 0.2798 -0.15545235 7.34
011315 1.26e-05 4.15 0.2798 -0.15545235 7.34
011316 1.26e-05 4.15 0.2798 -0.15545235 7.34
011317 1.26e-05 4.15 0.2798 -0.15545235 7.34
011318 1.26e-05 4.15 0.2798 -0.15545235 7.34
011319 1.26e-05 4.15 0.2798 -0.15545235 7.34
011320 1.26e-05 4.15 0.2798 -0.15545235 7.34
011321 1.26e-05 4.15 0.2798 -0.15545235 7.34
011322 1.26e-05 4.15 0.2798 -0.15545235 7.34
011323 1.26e-05 4.15 0.2798 -0.15545235 7.34
011324 1.26e-05 4.15 0.2798 -0.15545235 7.34
011401 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011402 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011403 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011404 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011405 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011406 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011407 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011408 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011409 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011410 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011411 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011412 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011413 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011414 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011415 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011416 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011417 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011418 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011419 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011420 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011421 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011422 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011423 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011424 1.26e-05 4.1725 0.28015 -0.1547039 7.34
011501 1.26e-05 4.322 0.27395 -0.18941295 7.34
011502 1.26e-05 4.322 0.27395 -0.18941295 7.34
011503 1.26e-05 4.322 0.27395 -0.18941295 7.34
011504 1.26e-05 4.322 0.27395 -0.18941295 7.34
011505 1.26e-05 4.322 0.27395 -0.18941295 7.34
011506 1.26e-05 4.322 0.27395 -0.18941295 7.34
011507 1.26e-05 4.322 0.27395 -0.18941295 7.34
011508 1.26e-05 4.322 0.27395 -0.18941295 7.34
011509 1.26e-05 4.322 0.27395 -0.18941295 7.34
011510 1.26e-05 4.322 0.27395 -0.18941295 7.34
011511 1.26e-05 4.322 0.27395 -0.18941295 7.34
011512 1.26e-05 4.322 0.27395 -0.18941295 7.34
011513 1.26e-05 4.322 0.27395 -0.18941295 7.34
011514 1.26e-05 4.322 0.27395 -0.18941295 7.34
011515 1.26e-05 4.322 0.27395 -0.18941295 7.34
011516 1.26e-05 4.322 0.27395 -0.18941295 7.34
011517 1.26e-05 4.322 0.27395 -0.18941295 7.34
011518 1.26e-05 4.322 0.27395 -0.18941295 7.34
011519 1.26e-05 4.322 0.27395 -0.18941295 7.34
011520 1.26e-05 4.322 0.27395 -0.18941295 7.34
011521 1.26e-05 4.322 0.27395 -0.18941295 7.34
011522 1.26e-05 4.322 0.27395 -0.18941295 7.34
011523 1.26e-05 4.322 0.27395 -0.18941295 7.34
011524 1.26e-05 4.322 0.27395 -0.18941295 7.34
011601 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011602 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011603 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011604 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011605 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011606 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011607 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011608 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011609 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011610 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011611 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011612 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011613 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011614 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011615 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011616 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011617 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011618 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011619 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011620 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011621 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011622 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011623 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011624 1.26e-05 4.7775 0.28185 -0.15170905 7.34
011701 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011702 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011703 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011704 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011705 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011706 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011707 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011708 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011709 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011710 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011711 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011712 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011713 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011714 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011715 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011716 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011717 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011718 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011719 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011720 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011721 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011722 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011723 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011724 1.475e-05 4.5585 0.28085 -0.15531945 7.34
011801 1.475e-05 4.459 0.2807 -0.1561934 7.34
011802 1.475e-05 4.459 0.2807 -0.1561934 7.34
011803 1.475e-05 4.459 0.2807 -0.1561934 7.34
011804 1.475e-05 4.459 0.2807 -0.1561934 7.34
011805 1.475e-05 4.459 0.2807 -0.1561934 7.34
011806 1.475e-05 4.459 0.2807 -0.1561934 7.34
011807 1.475e-05 4.459 0.2807 -0.1561934 7.34
011808 1.475e-05 4.459 0.2807 -0.1561934 7.34
011809 1.475e-05 4.459 0.2807 -0.1561934 7.34
011810 1.475e-05 4.459 0.2807 -0.1561934 7.34
011811 1.475e-05 4.459 0.2807 -0.1561934 7.34
011812 1.475e-05 4.459 0.2807 -0.1561934 7.34
011813 1.475e-05 4.459 0.2807 -0.1561934 7.34
011814 1.475e-05 4.459 0.2807 -0.1561934 7.34
011815 1.475e-05 4.459 0.2807 -0.1561934 7.34
011816 1.475e-05 4.459 0.2807 -0.1561934 7.34
011817 1.475e-05 4.459 0.2807 -0.1561934 7.34
011818 1.475e-05 4.459 0.2807 -0.1561934 7.34
011819 1.475e-05 4.459 0.2807 -0.1561934 7.34
011820 1.475e-05 4.459 0.2807 -0.1561934 7.34
011821 1.475e-05 4.459 0.2807 -0.1561934 7.34
011822 1.475e-05 4.459 0.2807 -0.1561934 7.34
011823 1.475e-05 4.459 0.2807 -0.1561934 7.34
011824 1.475e-05 4.459 0.2807 -0.1561934 7.34
011901 1.475e-05 5.0705 0.2827 -0.1507983 7.34
011902 1.475e-05 5.0705 0.2827 -0.1507983 7.34
011903 1.475e-05 5.0705 0.2827 -0.1507983 7.34
011904 1.475e-05 5.0705 0.2827 -0.1507983 7.34
011905 1.475e-05 5.0705 0.2827 -0.1507983 7.34
011906 1.475e-05 5.0705 0.2827 -0.1507983 7.34
011907 1.475e-05 5.0705 0.2827 -0.1507983 7.34
011908 1.475e-05 5.0705 0.2827 -0.1507983 7.34
011909 1.475e-05 5.0705 0.2827 -0.1507983 7.34
011910 1.475e-05 5.0705 0.2827 -0.1507983 7.34
011911 1.475e-05 5.0705 0.2827 -0.1507983 7.34
011912 1.475e-05 5.0705 0.2827 -0.1507983 7.34
011913 1.475e-05 5.0705 0.2827 -0.1507983 7.34
011914 1.475e-05 5.0705 0.2827 -0.1507983 7.34
011915 1.475e-05 5.0705 0.2827 -0.1507983 7.34
011916 1.475e-05 5.0705 0.2827 -0.1507983 7.34
011917 1.475e-05 5.0705 0.2827 -0.1507983 7.34
